iter	Passed	Remaining
0	49	49397
1	98	49019
2	103	34311
3	202	50338
4	281	55967
5	389	64458
6	458	64982
7	462	57391
8	527	58096
9	583	57728
10	645	58068
11	649	53513
12	688	52252
13	737	51948
14	750	49310
15	758	46667
16	764	44180
17	769	41981
18	776	40079
19	780	38266
20	786	36647
21	790	35159
22	795	33797
23	800	32563
24	805	31431
25	810	30372
26	815	29385
27	822	28538
28	827	27691
29	832	26917
30	837	26181
31	851	25770
32	900	26384
33	909	25847
34	915	25232
35	922	24696
36	926	24122
37	931	23589
38	936	23088
39	942	22611
40	946	22145
41	952	21719
42	957	21305
43	962	20914
44	968	20547
45	973	20189
46	978	19837
47	983	19508
48	988	19193
49	994	18887
50	999	18602
51	1005	18339
52	1010	18063
53	1023	17925
54	1028	17668
55	1033	17428
56	1054	17448
57	1066	17315
58	1075	17159
59	1084	16990
60	1101	16952
61	1106	16745
62	1116	16599
63	1121	16408
64	1126	16204
65	1134	16053
66	1139	15862
67	1144	15684
68	1149	15515
69	1155	15346
70	1159	15173
71	1165	15018
72	1178	14961
73	1187	14856
74	1201	14813
75	1208	14693
76	1214	14562
77	1224	14478
78	1232	14366
79	1239	14254
80	1245	14128
81	1251	14009
82	1258	13903
83	1264	13784
84	1284	13823
85	1433	15239
86	1560	16371
87	1633	16928
88	1687	17271
89	1692	17110
90	1763	17615
91	1788	17647
92	1821	17765
93	1895	18272
94	1936	18445
95	1983	18681
96	2075	19318
97	2138	19682
98	2217	20180
99	2284	20557
100	2494	22203
101	2499	22007
102	2504	21814
103	2509	21624
104	2514	21436
105	2519	21252
106	2524	21071
107	2529	20895
108	2535	20723
109	2540	20552
110	2545	20385
111	2550	20220
112	2555	20059
113	2560	19900
114	2565	19746
115	2571	19596
116	2576	19447
117	2582	19300
118	2783	20608
119	2788	20452
120	2795	20306
121	2800	20154
122	2805	20004
123	2812	19871
124	2819	19736
125	2825	19597
126	2831	19465
127	2838	19339
128	2845	19211
129	2851	19083
130	2857	18953
131	2862	18820
132	2867	18692
133	2873	18569
134	2879	18453
135	2886	18339
136	2892	18220
137	2899	18110
138	2906	18002
139	2911	17884
140	2918	17779
141	2923	17665
142	2929	17553
143	2935	17447
144	2940	17340
145	2977	17415
146	3038	17630
147	3123	17981
148	3210	18337
149	3295	18673
150	3318	18655
151	3324	18546
152	3330	18438
153	3339	18343
154	3344	18235
155	3350	18127
156	3356	18020
157	3361	17915
158	3367	17812
159	3377	17732
160	3406	17750
161	3412	17654
162	3418	17553
163	3424	17455
164	3430	17358
165	3438	17272
166	3443	17177
167	3449	17083
168	3456	16997
169	3463	16911
170	3469	16820
171	3475	16731
172	3481	16640
173	3486	16552
174	3492	16462
175	3499	16382
176	3505	16301
177	3511	16216
178	3517	16133
179	3522	16046
180	3527	15961
181	3532	15878
182	3538	15798
183	3575	15857
184	3646	16064
185	3700	16196
186	3757	16336
187	3833	16555
188	4164	17870
189	4234	18052
190	4336	18367
