iter	Passed	Remaining
0	4	2157
1	7	1934
2	12	1999
3	16	1984
4	21	2169
5	24	2014
6	27	1905
7	29	1794
8	31	1713
9	33	1648
10	36	1609
11	38	1577
12	40	1533
13	42	1492
14	45	1457
15	47	1424
16	49	1396
17	51	1372
18	54	1382
19	56	1364
20	58	1343
21	60	1323
22	62	1305
23	65	1295
24	68	1294
25	70	1290
26	72	1277
27	74	1264
28	77	1251
29	79	1238
30	81	1227
31	83	1216
32	86	1218
33	88	1213
34	90	1203
35	92	1195
36	94	1185
37	96	1176
38	98	1167
39	101	1162
40	103	1161
41	105	1155
42	108	1148
43	110	1141
44	112	1135
45	114	1128
46	116	1124
47	120	1131
48	122	1127
49	124	1122
50	126	1116
51	128	1109
52	130	1104
53	133	1103
54	136	1100
55	138	1095
56	140	1089
57	142	1083
58	144	1077
59	146	1072
60	148	1067
61	152	1074
62	154	1070
63	156	1066
64	158	1061
65	160	1056
66	162	1051
67	164	1047
68	167	1046
69	169	1042
70	171	1038
71	173	1033
72	175	1028
73	177	1024
74	179	1019
75	182	1018
76	184	1015
77	186	1011
78	189	1007
79	191	1003
80	193	999
81	195	995
82	197	991
83	200	991
84	202	988
85	204	984
86	206	981
87	208	977
88	210	973
89	212	969
90	215	970
91	218	968
92	220	965
93	222	961
94	224	958
95	226	954
96	229	951
97	231	951
98	234	948
99	236	945
100	238	941
101	240	938
102	242	934
103	244	931
104	246	928
105	249	926
106	251	923
107	253	920
108	255	917
109	257	913
110	259	910
111	261	907
112	265	907
113	267	904
114	269	901
115	271	898
116	273	895
117	275	891
118	277	888
119	280	888
120	282	885
121	284	882
122	286	879
123	288	876
124	291	873
125	293	870
126	296	870
127	298	867
128	300	864
129	302	862
130	305	859
131	307	856
132	309	853
133	311	851
134	314	850
135	316	847
136	318	845
137	321	842
138	323	839
139	325	836
140	327	834
141	330	832
142	332	830
143	334	828
144	337	825
145	339	822
146	341	819
147	343	817
148	346	815
149	348	812
150	350	809
151	352	806
152	354	804
153	356	801
154	358	798
155	361	796
156	363	794
157	365	791
158	367	788
159	369	785
160	371	782
161	373	779
162	375	777
163	378	776
164	381	773
165	383	770
166	385	768
167	387	765
168	389	762
169	391	759
170	394	758
171	396	755
172	398	752
173	400	750
174	402	747
175	404	744
176	406	742
177	409	740
178	412	738
179	414	736
180	416	734
181	418	731
182	420	729
183	422	726
184	425	724
185	428	722
186	430	720
187	432	717
188	434	714
189	436	712
190	438	709
191	440	706
192	443	705
193	445	702
194	447	699
195	449	697
196	451	694
197	453	691
198	455	689
199	458	687
200	460	685
201	462	682
202	464	680
203	466	677
204	468	674
205	471	672
206	473	669
207	476	668
208	478	665
209	480	663
210	482	660
211	484	658
212	486	655
213	488	653
214	491	651
215	493	649
216	496	646
217	498	644
218	500	641
219	502	639
220	504	636
221	507	635
222	509	633
223	512	631
224	514	628
225	516	626
226	518	623
227	520	621
228	523	619
229	526	617
230	528	615
231	530	613
232	532	610
233	535	608
234	537	605
235	540	604
236	542	601
237	544	599
238	546	596
239	548	594
240	550	591
241	552	589
242	555	587
243	557	585
244	559	582
245	561	580
246	563	577
247	565	574
248	567	572
249	569	569
250	572	568
251	574	565
252	577	563
253	579	560
254	581	558
255	583	555
256	585	553
257	587	551
258	590	549
259	592	546
260	594	544
261	596	542
262	598	539
263	600	537
264	602	534
265	605	532
266	607	530
267	609	528
268	612	525
269	614	523
270	616	520
