ID,Candidate State,Age Range,Residence,Sex,Protected category,TAG,Study area,Study Title,Years Experience,Sector,Last Role,Year of insertion,Recruitment Request,Assumption Headquarters,Job Family Hiring,Job Title Hiring,Overall,Job Description,Candidate Profile,Years Experience.1,Minimum Ral,Ral Maximum,Study Level,Study Area.1,Akkodis headquarters,Current Ral,Expected Ral,Technical Skills,Standing/Position,Comunication,Maturity,Dynamism,Mobility,English,number_of_searches,Hired,Residence Country,Residence Italian Region,Residence Italian Province,Residence Italian City IT,Residence Italian City EN,Italian Residence,European Residence,Assumption HQ Lat,Assumption HQ Lng,Akkodis HQ Lat,Akkodis HQ Lng,Residence Lat,Residence Lon,candidate_text,Distance Residence - Akkodis HQ,Distance Residence - Assumption HQ
114,first contact,26 - 30 years,TURIN » Turin ~ Piedmont,Female,False,"-, 3D PRINTING PREFORM SOFTWARE; PYTHON; ANSYS, FORMLABS 3D PRINTERS; MATLAB; SIMULINK; LABVIEW, RHINOCEROS 3D; SPACECLAIM; SOLID WORKS; AUTOCAD",Biomedical Engineering,Five-year degree,[0],,,[2022],,,,,2.0,,,,,,,,,,,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1169.0,False,ITALY,Piedmont,Turin,Torino,TURIN,True,True,,,,,45.0792,7.6761,"Five-year degree in Biomedical Engineering. with [0] years of experience. Key skills include: -, 3D PRINTING PREFORM SOFTWARE; PYTHON; ANSYS, FORMLABS 3D PRINTERS; MATLAB; SIMULINK; LABVIEW, RHINOCEROS 3D; SPACECLAIM; SOLID WORKS; AUTOCAD.",,
137,in selection,< 20 years,NAPLES » Naples ~ Campania,Female,False,PROJECT MANAGEMENT,Management Engineering,Five-year degree,[0],Others,project manager,[2023],,,,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,165.0,False,ITALY,Campania,Naples,Napoli,NAPLES,True,True,,,,,40.8358,14.2486,Five-year degree in Management Engineering. Worked in the Others sector. Last held the role of project manager. with [0] years of experience. Key skills include: PROJECT MANAGEMENT.,,
165,hired,26 - 30 years,SESTO FIORENTINO » Florence ~ Tuscany,Male,False,"ANGULAR, JAVASCRIPT.",Informatics,Three-year degree,[1-3],Telecom,front end developer,[2023],Front End Developer,Bologna,Tech Consulting & Solutions,Consultant,3.0,"web developer – 03/06/23 • have 2+ years of experience as a web developer • have excellent and strong skills in html5, css, javascript • have knowledge in ajax, xml and json • have experience with rest service api • have experience with angular • have experience in jquery • have experience in production of technical documentation (ie uml and flow chart) • are curious to expand your coding and programming skills within a cloud-based technology stack • are fluent in english or italian • work in a structured manner and quickly comprehend new interrelationships • are a team player who wants to collaboratively shape the future even better • have computer science studies or a comparable program with above-average grades • have excellent knowledge of the .net core framework • have experience in web animation techniques • have experience with react or vue activities in milan or in full remote","web developer – 03/06/23 • have 2+ years of experience as a web developer • have excellent and strong skills in html5, css, javascript • have knowledge in ajax, xml and json • have experience with rest service api • have experience with angular • have experience in jquery • have experience in production of technical documentation (ie uml and flow chart) • are curious to expand your coding and programming skills within a cloud-based technology stack • are fluent in english or italian • work in a structured manner and quickly comprehend new interrelationships • are a team player who wants to collaboratively shape the future even better • have computer science studies or a comparable program with above-average grades • have excellent knowledge of the .net core framework • have experience in web animation techniques • have experience with react or vue",[1-3],23000.0,29000.0,Three-year degree,Informatics,Milan,23000.0,27000.0,2.5,3.0,3.0,3.0,3.0,1.0,3.0,337.0,True,ITALY,Tuscany,Florence,Sesto Fiorentino,SESTO FIORENTINO,True,True,44.4939,11.3428,45.4669,9.19,43.8333,11.2,"Three-year degree in Informatics. Worked in the Telecom sector. Last held the role of front end developer. with [1-3] years of experience. Key skills include: ANGULAR, JAVASCRIPT..",241.5962123968957,74.28616516241853
243,in selection,31 - 35 years,CARMAGNOLA » Turin ~ Piedmont,Male,False,,Information Engineering,Five-year degree,[3-5],Services and Information Systems,fullstack developer,[2022],,,,,2.6666666666666665,,,,,,,,,41000.0,45000.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.6666666666666667,2.0,2.0,3.0,1493.3333333333333,False,ITALY,Piedmont,Turin,Carmagnola,CARMAGNOLA,True,True,,,,,44.8469,7.7179,Five-year degree in Information Engineering. Worked in the Services and Information Systems sector. Last held the role of fullstack developer. with [3-5] years of experience.,,
307,in selection,31 - 35 years,LEGNANO » Milan ~ Lombardy,Male,False,,chemical engineering,Five-year degree,[7-10],Oil and Gas,process leader,[2021],,,,,3.0,,,,,,,,,,,3.0,2.6666666666666665,3.0,3.0,3.0,2.6666666666666665,3.0,409.0,False,ITALY,Lombardy,Milan,Legnano,LEGNANO,True,True,,,,,45.5958,8.906,Five-year degree in chemical engineering. Worked in the Oil and Gas sector. Last held the role of process leader. with [7-10] years of experience.,,
315,in selection,< 20 years,TURIN » Turin ~ Piedmont,Male,False,"JAVA, ORACLE, EXCEL, OFFICE, EDGE, VISUAL",Management Engineering,Five-year degree,[0],Consulting,student,[2023],,,,,2.0,,,,,,,,,,,1.5,2.0,2.5,2.0,2.0,3.0,2.5,165.0,False,ITALY,Piedmont,Turin,Torino,TURIN,True,True,,,,,45.0792,7.6761,"Five-year degree in Management Engineering. Worked in the Consulting sector. Last held the role of student. with [0] years of experience. Key skills include: JAVA, ORACLE, EXCEL, OFFICE, EDGE, VISUAL.",,
346,qm,< 20 years,MILAN » Milan ~ Lombardy,Male,False,"BUSINESS ANALYST, PROJECT MANAGER",Other,master's degree,[1-3],Others,business analyst,[2022],,,,,3.0,,,,,,,,,33000.0,39000.0,2.5,3.0,2.5,2.5,3.0,3.0,3.0,624.0,False,ITALY,Lombardy,Milan,Milano,MILAN,True,True,,,,,45.4669,9.19,"master's degree in Other. Worked in the Others sector. Last held the role of business analyst. with [1-3] years of experience. Key skills include: BUSINESS ANALYST, PROJECT MANAGER.",,
358,in selection,26 - 30 years,MODENA » Modena ~ Emilia Romagna,Male,False,"INVENTOR, SOLIDWORKS, AUTOCAD",industrial engineering,Three-year degree,[3-5],Automotive,draftsman and mechanical designer,[2023],,,,,2.0,,,,,,,,,25000.0,31000.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,203.0,False,ITALY,Emilia romagna,Modena,Modena,MODENA,True,True,,,,,44.6458,10.9257,"Three-year degree in industrial engineering. Worked in the Automotive sector. Last held the role of draftsman and mechanical designer. with [3-5] years of experience. Key skills include: INVENTOR, SOLIDWORKS, AUTOCAD.",,
369,hired,26 - 30 years,MARCH » Varese ~ Lombardy,Female,False,MATLAB,Mechanical engineering,Three-year degree,[1-3],Automotive,unemployed,[2020],Powertrain Calibration Engineer,Modena,Engineering,Junior Consultant,3.0,"for our pwt team in the emilia area we are looking for powertrain calibration engineer. the consultant will be involved in the following activities: - definition, testing, calibration and validation of engine/transmission control sw; - definition of combustion, safety and driveability processes; - diagnostic strategies (eobd); - dataset, analysis and control of calibrations;","ideal candidates have a master's degree in mechanical engineering, vehicle engineering or similar. fundamental requirements: - knowledge of engine calibration (petrol/diesel/electric); - preferred knowledge of tools: etas inca, vector dianalyzer, matlab, simulink - previous knowledge in the automotive field; - good knowledge of the english language; - driving license b - propensity for mobility for trips, including abroad - dynamism, proactivity and ability to work under pressure",[0-1],,25000.0,Five-year degree,Automotive Engineering,Modena,,,2.0,3.0,3.0,2.5,2.5,2.5,3.0,494.0,True,ITALY,Lombardy,Varese,Ancona,MARCH,True,True,44.6458,10.9257,44.6458,10.9257,43.6167,13.5167,Three-year degree in Mechanical engineering. Worked in the Automotive sector. Last held the role of unemployed. with [1-3] years of experience. Key skills include: MATLAB.,236.7781211501651,236.7781211501651
423,hired,36 - 40 years,MIRANDOLA » Modena ~ Emilia Romagna,Male,False,"BLOOD LINES, MEDICAL DEVICE, MEDICAL DEVICES DISPOSABLE, V&V",Informatics,High school graduation,[+10],Life sciences,technical leader,[2018],,Modena,Engineering,Consultant,2.5,,,,,,,,,35000.0,41000.0,2.5,3.0,3.0,3.0,1.5,1.0,2.5,648.0,True,ITALY,Emilia romagna,Modena,Mirandola,MIRANDOLA,True,True,44.6458,10.9257,,,44.8873,11.066,"High school graduation in Informatics. Worked in the Life sciences sector. Last held the role of technical leader. with [+10] years of experience. Key skills include: BLOOD LINES, MEDICAL DEVICE, MEDICAL DEVICES DISPOSABLE, V&V.",,29.04482899479023
